,idx,RECOGNIZER_DT,RECOGNIZER_ID,AURA_ID,CHANNEL_CD,CORR_ID,STATUS_CD,REASON,VERSION_ID,DURATION_NU,SCORE_NU,INPUT,OUTPUT,INTENT,ENTITIES,AURA_ID_GLOBAL,num_file
779714,170725,2018-12-17T11:58:51.856Z,nlp-recognizer,06556e80-812c-8e0f-f021-ddf968ca4ad2,movistar-home,f96ef905-bfc8-51dc-a559-b269dcaa410c,200.0,,3.0.2,14.0,1.0,PON LA TELE,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.on"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.on"",""score"":1}],""entities"":[]}",tv.on,,596bfbb5-9654-f6e2-5ffc-f3166c3b55ac,40
823628,305318,2018-12-18T20:17:48.308Z,nlp-recognizer,cfed054d-0421-b00d-0be1-346edef3bd6d,movistar-home,1976f401-f1a9-5f80-8abe-8c18c9898f33,200.0,,3.0.3,149.0,0.9275200000000001,QUÉ SABES HACER,"{""score"":0.92752,""intent"":""tef.int.es_ES.mh.common.help"",""intents"":[{""intent"":""tef.int.es_ES.mh.common.help"",""score"":0.92752}],""entities"":[]}",common.help,,4afc3961-2bb9-2239-31f1-9aabc9c50101,60
950421,1349266,2018-12-26T13:37:24.556Z,nlp-recognizer,6ec3a118-1b3d-e0de-d79b-49e0d3ad86ad,movistar-plus,38c1cb3a-ac5b-52df-ad0a-1fa322d0eb44,200.0,,3.0.3,48.0,0.71511215,ver película La Sirenita 2,"{""score"":0.71511215,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.71511215}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""película"",""label"":""CN"",""canon"":""peliculas"",""start_index"":4,""end_index"":12,""score"":1},{""type"":""tef.audiovisual_tvshow_title"",""entity"":""La Sirenita 2"",""label"":"""",""canon"":""la sirenita 2"",""start_index"":13,""end_index"":26,""score"":1}]}",tv.display,"película,La Sirenita 2",9609a9fd-2f8a-fe6d-c0c6-d36663681aa1,307
792270,215468,2018-12-17T18:47:16.801Z,nlp-recognizer,661eaa66-7d3a-70cc-6b1b-3b17b5cfbe08,movistar-home,666fd05a-4980-5151-9249-50beef977219,200.0,,3.0.2,49.0,0.9995338,QUIERO VER LA SEXTA,"{""score"":0.9995338,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9995338}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""LA SEXTA"",""label"":"""",""canon"":""la sexta"",""start_index"":11,""end_index"":19,""score"":0.9999999999999942}]}",tv.display,LA SEXTA,38f361c2-1f2d-c902-9a8a-762a238b72e3,46
67508,364112,2019-02-14T20:55:48.510Z,nlp-recognizer,3a458b96-500e-cc16-3273-eb2fb57a1c6c,movistar-plus,791fed73-1b4f-5065-8a71-7a9f0e7193c7,200.0,,3.0.3,15.0,1.0,arma letal,"{""score"":1,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":1}],""entities"":[{""type"":""tef.audiovisual_tvseries_title"",""entity"":""arma letal"",""label"":"""",""canon"":""arma letal"",""start_index"":0,""end_index"":10,""score"":1.0000000000000002}]}",tv.search,arma letal,5bea4e60-00e0-16a9-e9f0-fcacc30c5603,88
402237,659182,2019-01-19T13:19:52.325Z,nlp-recognizer,01ad52d4-00c5-191a-b851-8caf04742bf2,movistar-home,ddb7d69a-7377-5042-8cba-572b4fb501b5,200.0,,3.0.3,71.0,0.9380014000000001,PELI DE DIBUJOS,"{""score"":0.9380014,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.9380014}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""PELI"",""label"":""CN"",""canon"":""peliculas"",""start_index"":0,""end_index"":4,""score"":1},{""type"":""tef.audiovisual_subgenre"",""entity"":""DIBUJOS"",""label"":""INDA"",""canon"":""dibujos animados"",""start_index"":8,""end_index"":15,""score"":1}]}",tv.search,"PELI,DIBUJOS",11797417-3791-da52-923b-fb9e8dd3306d,155
666571,1851268,2018-12-02T18:29:09.847Z,cognitive-multiluis-recognizer,369b44a0-9f08-f0ee-70ba-1bc75b398be4,movistar-plus,97bbe40c-5851-5cb4-9b90-07ec7199f177,200.0,,2.5.1,60.0,0.65843904, [tef.audiovisual_genre] [tef.audiovisual_channel],"{""score"":0.65843904,""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.65843904},{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.521431},{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.05093241},{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.00854230952},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.005348075},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.00303629064},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.0000136572689},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.00000635597644},{""intent"":""None"",""score"":0.000005728161}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""películas"",""label"":""CN"",""canon"":""peliculas"",""start_index"":0,""end_index"":9,""score"":0.0000024023157418258085},{""type"":""tef.audiovisual_channel"",""entity"":""Disney"",""label"":"""",""canon"":""disney channel"",""start_index"":9,""end_index"":16,""score"":0.0000021237733767766342}],""compositeEntities"":[]}",tv.content_get_info,"películas,Disney",,430
809255,998103,2018-12-18T13:07:58.062Z,nlp-recognizer,80df3e45-0eb8-279e-a825-c9b12c5f2275,movistar-home,5b0d8315-07f4-5d91-8a6e-42836e7e83ec,200.0,,3.0.3,38.0,0.65016526,DIME EL CÓDIGO DE WIFI,"{""score"":0.65016526,""intent"":""tef.int.es_ES.mh.wifi.get_access"",""intents"":[{""intent"":""tef.int.es_ES.mh.wifi.get_access"",""score"":0.65016526}],""entities"":[{""type"":""tef.wifi"",""entity"":""WIFI"",""label"":"""",""canon"":""wifi"",""start_index"":18,""end_index"":22,""score"":1}]}",wifi.get_access,WIFI,980a36e7-ba39-80f0-6769-7fea604f1193,227
233131,1261411,2019-02-20T21:12:09.480Z,nlp-recognizer,e29c45c0-3de1-dee5-df8c-f6355bb6f5ca,movistar-plus,1352c9f7-c0e0-51f7-b408-c6635836a6f8,200.0,,3.0.3,14.0,1.0,Atletico,"{""score"":1,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":1}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""Atletico"",""label"":"""",""canon"":""at madrid"",""start_index"":0,""end_index"":8,""score"":1}]}",tv.search,Atletico,599646f2-9dec-32b7-6324-b5312fa2b55f,314
106628,577919,2019-02-22T20:29:07.512Z,nlp-recognizer,9884e4b1-1752-42b8-08f9-dbebcbb42f6b,movistar-plus,a052250b-c61e-5095-b43e-0714bda05205,200.0,,3.0.3,18.0,,Con Air King con Internet,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,913dc33b-25dd-c358-af89-a75e6353b45f,140
270587,1464519,2019-02-28T09:37:48.649Z,nlp-recognizer,259cc156-8a99-eda0-8ec0-345c3e37a4b0,movistar-home,6d65c658-64c7-509c-80e3-78a5368bdd24,200.0,,3.0.3,127.0,0.8934885,DIME LA PONME AHORA ELLA ESTÁ,"{""score"":0.8934885,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.8934885}],""entities"":[{""type"":""tef.time_instant"",""entity"":""AHORA"",""label"":"""",""canon"":""ahora"",""start_index"":14,""end_index"":19,""score"":1}]}",tv.display,AHORA,708efa97-26ab-cb4f-5f0c-3e6945b31e86,364
720109,1776987,2018-12-10T21:29:52.222Z,cognitive-multiluis-recognizer,84e950ab-9a3b-e74a-2f72-b2b79a237ecb,movistar-plus,8e4ecf24-1419-56c8-9d74-3de7173189b8,200.0,,2.5.1,23.0,0.999988648513608,entendido,"{""compositeEntities"":[],""entities"":[],""intent"":""None"",""score"":0.9999886485136081}",None,,,411
62922,339939,2019-02-13T21:17:43.701Z,nlp-recognizer,262357c2-0c5d-58ff-1090-9a66f8036c24,movistar-plus,78e7a847-8ff9-55c2-a573-2c646aaee229,200.0,,3.0.3,42.0,0.9959323,ver Movistar Liga de Campeones,"{""score"":0.9959323,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.9959323}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""Movistar Liga de Campeones"",""label"":"""",""canon"":""movistar liga de campeones"",""start_index"":4,""end_index"":30,""score"":1}]}",tv.display,Movistar Liga de Campeones,7a47f2ff-1b28-f882-5570-1477a7157997,82
812780,1007415,2018-12-18T15:23:37.571Z,nlp-recognizer,a7b82127-925f-b850-13d5-f19bf4632ef5,movistar-home,b17ecac7-d4bb-569a-a31c-2a2c09f16e10,200.0,,3.0.3,50.0,0.9878382,CAMBIAR A LA SEXTA,"{""score"":0.9878382,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9878382}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""LA SEXTA"",""label"":"""",""canon"":""la sexta"",""start_index"":10,""end_index"":18,""score"":1.0000000000000002}]}",tv.display,LA SEXTA,78170e8a-87a8-4aa2-b7a0-1bb28d0e7711,229
50043,271527,2019-02-11T07:28:53.983Z,nlp-recognizer,79e20029-4c26-183d-def7-b26770fde51e,movistar-home,74b6b1b5-792d-55b5-9020-6a925bac5e0b,200.0,,3.0.3,38.0,1.0,BAJA EL VOLUMEN,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.volume_down"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.volume_down"",""score"":1}],""entities"":[]}",tv.volume_down,,c5be78cb-5e6e-4101-013c-456af9990280,65
592600,1679574,2019-01-20T21:55:21.594Z,nlp-recognizer,957473ae-aa4f-a6ad-5891-0465d6362181,movistar-plus,3867fb1c-0e59-5f2f-86b8-5e66c6ceb0ac,200.0,,3.0.3,59.0,0.9845136,Aroa de 65,"{""score"":0.9845136,""intent"":""tef.int.es_ES.mp.tv.none"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.none"",""score"":0.9845136}],""entities"":[]}",tv.none,,d7066350-f3b8-fb91-146c-862522baeb08,405
528333,1333710,2019-01-08T20:42:31.147Z,nlp-recognizer,849a74d9-67ee-2f7c-d6dd-847e195e38bc,movistar-home,5fe5b2d2-160c-5948-99d4-5b4b6bfe7720,200.0,,3.0.3,51.0,0.9993948340000001,BUSCA LOS GRANADA,"{""score"":0.999394834,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.999394834}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""GRANADA"",""label"":"""",""canon"":""granada"",""start_index"":10,""end_index"":17,""score"":1}]}",tv.search,GRANADA,7d238489-aaa6-f60b-2eb5-0cb168dcd50e,316
196083,1057612,2019-02-12T21:23:31.907Z,nlp-recognizer,701213cd-4f46-65a0-7810-848a1a981cb8,movistar-plus,1de59108-0b75-5f21-8456-90aa6b1c0874,200.0,,3.0.3,70.0,0.335724741,Area cliente,"{""score"":0.335724741,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.335724741}],""entities"":[{""type"":""tef.audiovisual_film_title"",""entity"":""cliente"",""label"":"""",""canon"":""cliente"",""start_index"":5,""end_index"":12,""score"":0.9990263531918102}]}",tv.search,cliente,522fd9d2-97c9-1984-8a9f-831a154713ab,263
36941,199706,2019-02-08T17:11:36.029Z,nlp-recognizer,0520b099-9d4e-0b4a-a005-fcb5646659a7,movistar-home,437d35b3-b8ba-575c-9808-1cdfdbe35bd1,200.0,,3.0.3,108.0,0.245133415,EN TAXI Y PUEDES CONTESTAR,"{""score"":0.245133415,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.245133415}],""entities"":[{""type"":""tef.audiovisual_tvseries_title"",""entity"":""TAXI"",""label"":"""",""canon"":""taxi"",""start_index"":3,""end_index"":7,""score"":0.9999999999997502}]}",tv.search,TAXI,ce5eb342-4379-e6de-80ec-8a27c9c1f7de,48
713610,1758585,2018-12-09T19:49:57.520Z,cognitive-multiluis-recognizer,9e1e77b0-c61f-9f95-ed10-1267e4338f75,movistar-plus,fe1f1e05-ee66-51ed-a1fd-4babf19326fb,200.0,,2.5.1,45.0,0.492647648, [tef.audiovisual_sports_season] libertadores,"{""score"":0.492647648,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.492647648},{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.12581259},{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.0206500161},{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.0186910573},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.0117036887},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.0111212712},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.00204560952},{""intent"":""None"",""score"":0.000746630831},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.0000133437743}],""entities"":[{""type"":""tef.audiovisual_sports_season"",""entity"":""Copa"",""label"":""DPFU-COPA"",""canon"":""copa"",""start_index"":0,""end_index"":4,""score"":0.000002123836143761486}],""compositeEntities"":[]}",tv.search,Copa,,406
660026,1594242,2018-12-01T21:33:17.385Z,cognitive-multiluis-recognizer,5f116c43-48fb-1230-74d7-d627fbc7dd45,movistar-plus,b742c2d4-7564-5227-be42-a198680f45ab,200.0,,2.5.1,83.0,0.958593965,ver [tef.time_instant],"{""score"":0.958593965,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.958593965},{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.0173818357},{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.0140475342},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.006434074},{""intent"":""None"",""score"":0.00219963584},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.00136287441},{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.000269990182},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.000022648057},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.000004264341}],""entities"":[{""type"":""tef.time_instant"",""entity"":""ahora"",""label"":"""",""canon"":""ahora"",""start_index"":3,""end_index"":9,""score"":0.000002123696160174144}],""compositeEntities"":[]}",tv.display,ahora,,363
108227,586504,2019-02-22T23:25:17.778Z,nlp-recognizer,233708d7-e9f5-3a39-1e79-16f184a70d66,movistar-plus,b0fc8bdc-056f-5b5e-8b8a-c3e278f23b04,200.0,,3.0.3,201.0,0.86038506,Quiero ver el hormiguero de ayer,"{""score"":0.86038506,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.86038506}],""entities"":[{""type"":""tef.audiovisual_tvshow_title"",""entity"":""el hormiguero"",""label"":"""",""canon"":""el hormiguero"",""start_index"":11,""end_index"":24,""score"":0.9999999999999982},{""type"":""tef.time_interval"",""entity"":""ayer"",""label"":"""",""canon"":""ayer"",""start_index"":28,""end_index"":32,""score"":1}]}",tv.display,"el hormiguero,ayer",18040d41-d2ff-9758-ac52-7b174d539bfa,142
701317,1732322,2018-12-08T16:15:06.885Z,cognitive-multiluis-recognizer,96f3bd0f-864e-ea54-6117-406d6b0b91a4,movistar-plus,98f6cc6b-c2b8-591a-8834-981800176fc2,200.0,,2.5.1,83.0,0.8643018, [tef.audiovisual_sports_team],"{""score"":0.8643018,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.8643018},{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.0677463338},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.0200594049},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.0113402624},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.009608737},{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.00634492142},{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.00126807031},{""intent"":""None"",""score"":0.0005959067},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.000002311825}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""Valencia Sevilla"",""label"":"""",""canon"":""valencia sevilla"",""start_index"":0,""end_index"":16,""score"":6.906536954480774e-12}],""compositeEntities"":[]}",tv.search,Valencia Sevilla,,400
300439,125945,2019-01-04T09:44:06.815Z,nlp-recognizer,10f916e5-e3e0-75b4-f347-99124209972c,movistar-home,252ae2bb-3dcb-54c0-b082-b2bfdcedb296,200.0,,3.0.3,33.0,1.0,PON LA TELEVISIÓN,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.on"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.on"",""score"":1}],""entities"":[]}",tv.on,,0124e58c-601e-81f4-2dba-9a63dc2a78d9,26
418474,751098,2019-01-22T13:00:42.589Z,nlp-recognizer,01947c32-0689-fa15-ca5d-afa946cc7450,movistar-home,aadc4b69-5941-55d9-8ceb-92ee1442bd76,200.0,,3.0.3,20.0,,CANAL TREINTA,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,113e7c7a-c71f-86c7-19c5-c5090c3b0664,178
287420,59211,2019-01-02T20:07:28.201Z,nlp-recognizer,15b258a5-ab04-d1eb-b6b2-65385264b2cf,movistar-plus,ccf4d135-f009-5e18-8000-45c1c3091e6b,200.0,,3.0.3,32.0,1.0,No,"{""score"":1,""intent"":""tef.int.es_ES.mp.common.goodbyes"",""intents"":[{""intent"":""tef.int.es_ES.mp.common.goodbyes"",""score"":1}],""entities"":[]}",common.goodbyes,,3e0fbf58-66bd-5560-dff5-e4baf9f16a7f,13
1250039,532963,2019-03-24T20:40:15.830Z,nlp-recognizer,a9eda390-760b-1280-ce6f-78e5103ef153,movistar-home,a74a60e7-0fae-5ead-810c-24aec4576e2b,200.0,,3.0.3,66.0,0.477158129,QUIERO LA RÉPLICA,"{""score"":0.477158129,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0.477158129}],""entities"":[]}",None,,a2e5358e-bf37-12b2-73cb-44dec67f6f23,141
694538,1948032,2018-12-07T14:54:00.916Z,cognitive-multiluis-recognizer,2dc64355-e916-b77b-19f0-9a0793cd59ac,movistar-plus,c296bfd0-e75c-547b-af02-c0ec8df55566,200.0,,2.5.1,77.0,0.1,ver dispositivos conectados,"{""score"":0.1,""intent"":""tef.int.es_ES.mp.tv.none"",""intents"":[{""intent"":""None"",""score"":0.9344529},{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.25837037},{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.0137175051},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.006925357},{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.0008102549},{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.000408450956},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.000196268316},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.0000317133054},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.00000679983623}],""entities"":[],""compositeEntities"":[]}",tv.none,,,454
190351,1027747,2019-02-11T19:54:24.601Z,nlp-recognizer,c20c1198-b56f-54e0-ec8e-0349b9e96051,movistar-plus,652e0201-d37d-5de1-a849-e71f00556518,200.0,,3.0.3,84.0,0.482297659,Programas en cuatro,"{""score"":0.482297659,""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":0.482297659}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""cuatro"",""label"":"""",""canon"":""cuatro"",""start_index"":13,""end_index"":19,""score"":0.9999999999999999},{""type"":""tef.audiovisual_genre"",""entity"":""Programas"",""label"":""PR"",""canon"":""programas de television"",""start_index"":0,""end_index"":9,""score"":0.9999999999999999}]}",tv.content_get_info,"cuatro,Programas",aaf03f05-c5ed-2fa6-1eb4-c9c0c2741aeb,255
